comment,case_folding,cleansing,normalized_reviews,tokenizing,stopwords_removed
59:00 definisi menelan data mentah tanpa melalui penyelidikan ( main asal tangkep aja ),59:00 definisi menelan data mentah tanpa melalui penyelidikan ( main asal tangkep aja ),definisi menelan data mentah tanpa melalui penyelidikan main asal tangkep aja,definisi menelan data mentah tanpa melalui penyelidikan main asal tangkap saja,"['definisi', 'menelan', 'data', 'mentah', 'tanpa', 'melalui', 'penyelidikan', 'main', 'asal', 'tangkap', 'saja']","['definisi', 'menelan', 'data', 'mentah', 'penyelidikan', 'main', 'tangkap']"
"Gw yang kehilangan akun aja, gw laporin ke satsiber baju coklat cuma dikasih edukasi anj emg","gw yang kehilangan akun aja, gw laporin ke satsiber baju coklat cuma dikasih edukasi anj emg",gw yang kehilangan akun aja gw laporin ke satsiber baju coklat cuma dikasih edukasi anj emg,gue yang kehilangan akun saja gue laporin ke satsiber baju coklat cuma dikasih edukasi anjing memang,"['gue', 'yang', 'kehilangan', 'akun', 'saja', 'gue', 'laporin', 'ke', 'satsiber', 'baju', 'coklat', 'cuma', 'dikasih', 'edukasi', 'anjing', 'memang']","['gue', 'kehilangan', 'akun', 'gue', 'laporin', 'satsiber', 'baju', 'coklat', 'dikasih', 'edukasi', 'anjing']"
"Salfok sama tangan om ded yg keker banget, pasti abis dipump tuh tangan😊","salfok sama tangan om ded yg keker banget, pasti abis dipump tuh tangan😊",salfok sama tangan om ded yg keker banget pasti abis dipump tuh tangan,salah fokus sama tangan om ded yang keker banget pasti habis dipump tuh tangan,"['salah', 'fokus', 'sama', 'tangan', 'om', 'ded', 'yang', 'keker', 'banget', 'pasti', 'habis', 'dipump', 'tuh', 'tangan']","['salah', 'fokus', 'tangan', 'om', 'ded', 'keker', 'banget', 'habis', 'dipump', 'tuh', 'tangan']"
Indo g butuh hacker / org Pinter butuh nya org bodoh yg bisa di kibulin terus😂,indo g butuh hacker / org pinter butuh nya org bodoh yg bisa di kibulin terus😂,indo g butuh hacker org pinter butuh nya org bodoh yg bisa di kibulin terus,indonesia enggak butuh hacker orang pintar butuh nya orang bodoh yang bisa di kibulin terus,"['indonesia', 'enggak', 'butuh', 'hacker', 'orang', 'pintar', 'butuh', 'nya', 'orang', 'bodoh', 'yang', 'bisa', 'di', 'kibulin', 'terus']","['indonesia', 'butuh', 'hacker', 'orang', 'pintar', 'butuh', 'nya', 'orang', 'bodoh', 'kibulin']"
Hidup di indo tu nothing to lose,hidup di indo tu nothing to lose,hidup di indo tu nothing to lose,hidup di indonesia itu nothing tapi lose,"['hidup', 'di', 'indonesia', 'itu', 'nothing', 'tapi', 'lose']","['hidup', 'indonesia', 'nothing', 'lose']"
"WA yg udah keapus history chat nya emang masih bisa utuh log nya om,, bahkan masih bisa dibaca di kita 😅😅","wa yg udah keapus history chat nya emang masih bisa utuh log nya om,, bahkan masih bisa dibaca di kita 😅😅",wa yg udah keapus history chat nya emang masih bisa utuh log nya om bahkan masih bisa dibaca di kita,wa yang sudah keapus history chat nya memang masih bisa utuh log nya om bahkan masih bisa dibaca di kita,"['wa', 'yang', 'sudah', 'keapus', 'history', 'chat', 'nya', 'memang', 'masih', 'bisa', 'utuh', 'log', 'nya', 'om', 'bahkan', 'masih', 'bisa', 'dibaca', 'di', 'kita']","['wa', 'keapus', 'history', 'chat', 'nya', 'utuh', 'log', 'nya', 'om', 'dibaca']"
Bjorka nonton podcast ini tertawa di pojokan sambil ngopi camilan gorengan... 😂😂,bjorka nonton podcast ini tertawa di pojokan sambil ngopi camilan gorengan... 😂😂,bjorka nonton podcast ini tertawa di pojokan sambil ngopi camilan gorengan,bjorka menonton podcast ini tertawa di pojokan sambil ngopi camilan gorengan,"['bjorka', 'menonton', 'podcast', 'ini', 'tertawa', 'di', 'pojokan', 'sambil', 'ngopi', 'camilan', 'gorengan']","['bjorka', 'menonton', 'podcast', 'tertawa', 'pojokan', 'ngopi', 'camilan', 'gorengan']"
"Kasus besar yg pernah terjadi penangkapan di kota bandung 
Tepat nya di 
Perumahan setraduta penangkapan penipuan terbesar di kota bandung","kasus besar yg pernah terjadi penangkapan di kota bandung 
tepat nya di 
perumahan setraduta penangkapan penipuan terbesar di kota bandung",kasus besar yg pernah terjadi penangkapan di kota bandung tepat nya di perumahan setraduta penangkapan penipuan terbesar di kota bandung,kasus besar yang pernah terjadi penangkapan di kota bandung tepat nya di perumahan setraduta penangkapan penipuan terbesar di kota bandung,"['kasus', 'besar', 'yang', 'pernah', 'terjadi', 'penangkapan', 'di', 'kota', 'bandung', 'tepat', 'nya', 'di', 'perumahan', 'setraduta', 'penangkapan', 'penipuan', 'terbesar', 'di', 'kota', 'bandung']","['penangkapan', 'kota', 'bandung', 'nya', 'perumahan', 'setraduta', 'penangkapan', 'penipuan', 'terbesar', 'kota', 'bandung']"
Om saya ikut bugbounty hack Tesla dapat 20.000usd di Bugcrowd,om saya ikut bugbounty hack tesla dapat 20.000usd di bugcrowd,om saya ikut bugbounty hack tesla dapat usd di bugcrowd,om saya ikut bugbounty hack tesla dapat usd di bugcrowd,"['om', 'saya', 'ikut', 'bugbounty', 'hack', 'tesla', 'dapat', 'usd', 'di', 'bugcrowd']","['om', 'bugbounty', 'hack', 'tesla', 'usd', 'bugcrowd']"
"15:22 Indonesia bukan gak mw rekrut mereka bg, tapi Indonesia menghargai ilmunya dibawah gaji HRD. Ditambah jaminan kerja utk dia dn kelurganya gk terjamin","15:22 indonesia bukan gak mw rekrut mereka bg, tapi indonesia menghargai ilmunya dibawah gaji hrd. ditambah jaminan kerja utk dia dn kelurganya gk terjamin",indonesia bukan gak mw rekrut mereka bg tapi indonesia menghargai ilmunya dibawah gaji hrd ditambah jaminan kerja utk dia dn kelurganya gk terjamin,indonesia bukan enggak mau rekrut mereka bang tapi indonesia menghargai ilmunya dibawah gaji hrd ditambah jaminan kerja untuk dia dan kelurganya enggak terjamin,"['indonesia', 'bukan', 'enggak', 'mau', 'rekrut', 'mereka', 'bang', 'tapi', 'indonesia', 'menghargai', 'ilmunya', 'dibawah', 'gaji', 'hrd', 'ditambah', 'jaminan', 'kerja', 'untuk', 'dia', 'dan', 'kelurganya', 'enggak', 'terjamin']","['indonesia', 'rekrut', 'bang', 'indonesia', 'menghargai', 'ilmunya', 'dibawah', 'gaji', 'hrd', 'ditambah', 'jaminan', 'kerja', 'kelurganya', 'terjamin']"
"Negara ini isinya Polisi otak2 Jadul,, Pemerintah Old mind..karena yg dipikir hanya Politik Praktis..isinya hny rebutan kekuasaan..soal teknologi, IT terlalu kejauhan","negara ini isinya polisi otak2 jadul,, pemerintah old mind..karena yg dipikir hanya politik praktis..isinya hny rebutan kekuasaan..soal teknologi, it terlalu kejauhan",negara ini isinya polisi otak jadul pemerintah old mindkarena yg dipikir hanya politik praktisisinya hny rebutan kekuasaansoal teknologi it terlalu kejauhan,negara ini isinya polisi otak jadul pemerintah old mindkarena yang dipikir hanya politik praktisisinya hanya rebutan kekuasaansoal teknologi itu terlalu kejauhan,"['negara', 'ini', 'isinya', 'polisi', 'otak', 'jadul', 'pemerintah', 'old', 'mindkarena', 'yang', 'dipikir', 'hanya', 'politik', 'praktisisinya', 'hanya', 'rebutan', 'kekuasaansoal', 'teknologi', 'itu', 'terlalu', 'kejauhan']","['negara', 'isinya', 'polisi', 'otak', 'jadul', 'pemerintah', 'old', 'mindkarena', 'dipikir', 'politik', 'praktisisinya', 'rebutan', 'kekuasaansoal', 'teknologi', 'kejauhan']"
Cyber Polri belum kelas nya Nangkep Byorka... Saat berita itu dia pasti tertawa terbahak bahak..😅😅,cyber polri belum kelas nya nangkep byorka... saat berita itu dia pasti tertawa terbahak bahak..😅😅,cyber polri belum kelas nya nangkep byorka saat berita itu dia pasti tertawa terbahak bahak,cyber polri belum kelas nya nangkep byorka saat berita itu dia pasti tertawa terbahak bahak,"['cyber', 'polri', 'belum', 'kelas', 'nya', 'nangkep', 'byorka', 'saat', 'berita', 'itu', 'dia', 'pasti', 'tertawa', 'terbahak', 'bahak']","['cyber', 'polri', 'kelas', 'nya', 'nangkep', 'byorka', 'berita', 'tertawa', 'terbahak', 'bahak']"
Plot twist nya bjorka adalah polisi siber juga + admin fufu fafa + keluarga pa jokowi + didikan strategi prabowo + penjaga warnet:v,plot twist nya bjorka adalah polisi siber juga + admin fufu fafa + keluarga pa jokowi + didikan strategi prabowo + penjaga warnet:v,plot twist nya bjorka adalah polisi siber juga admin fufu fafa keluarga pa jokowi didikan strategi prabowo penjaga warnetv,plot twist nya bjorka adalah polisi siber juga admin fufu fafa keluarga apa jokowi didikan strategi prabowo penjaga warnetv,"['plot', 'twist', 'nya', 'bjorka', 'adalah', 'polisi', 'siber', 'juga', 'admin', 'fufu', 'fafa', 'keluarga', 'apa', 'jokowi', 'didikan', 'strategi', 'prabowo', 'penjaga', 'warnetv']","['plot', 'twist', 'nya', 'bjorka', 'polisi', 'siber', 'admin', 'fufu', 'fafa', 'keluarga', 'jokowi', 'didikan', 'strategi', 'prabowo', 'penjaga', 'warnetv']"
"Jujur ini tamu yg d undang yg yg ngundang biar sehat terus..
Mantaap banget..","jujur ini tamu yg d undang yg yg ngundang biar sehat terus..
mantaap banget..",jujur ini tamu yg d undang yg yg ngundang biar sehat terus mantaap banget,jujur ini tamu yang di undang yang yang ngundang biar sehat terus mantap banget,"['jujur', 'ini', 'tamu', 'yang', 'di', 'undang', 'yang', 'yang', 'ngundang', 'biar', 'sehat', 'terus', 'mantap', 'banget']","['jujur', 'tamu', 'undang', 'ngundang', 'biar', 'sehat', 'mantap', 'banget']"
pitak,pitak,pitak,pitak,['pitak'],['pitak']
"Yg setuju tolong like🙏, om ded undang bang teguh aprianto lagi.. bahas sistem hacking (maaf kalau salah sebut) yg di punya pak Purbaya😊.. dan adanya pak Purbaya apakah bang teguh bakalan tertarik buat Gambung di pemerintahan🙏🙏
Terus tanyain ke","yg setuju tolong like🙏, om ded undang bang teguh aprianto lagi.. bahas sistem hacking (maaf kalau salah sebut) yg di punya pak purbaya😊.. dan adanya pak purbaya apakah bang teguh bakalan tertarik buat gambung di pemerintahan🙏🙏
terus tanyain ke",yg setuju tolong like om ded undang bang teguh aprianto lagi bahas sistem hacking maaf kalau salah sebut yg di punya pak purbaya dan adanya pak purbaya apakah bang teguh bakalan tertarik buat gambung di pemerintahan terus tanyain ke,yang setuju tolong like om ded undang bang teguh aprianto lagi bahas sistem hacking maaf kalau salah sebut yang di punya pak purbaya dan adanya pak purbaya apakah bang teguh bakalan tertarik buat gambung di pemerintahan terus tanyakan ke,"['yang', 'setuju', 'tolong', 'like', 'om', 'ded', 'undang', 'bang', 'teguh', 'aprianto', 'lagi', 'bahas', 'sistem', 'hacking', 'maaf', 'kalau', 'salah', 'sebut', 'yang', 'di', 'punya', 'pak', 'purbaya', 'dan', 'adanya', 'pak', 'purbaya', 'apakah', 'bang', 'teguh', 'bakalan', 'tertarik', 'buat', 'gambung', 'di', 'pemerintahan', 'terus', 'tanyakan', 'ke']","['setuju', 'tolong', 'like', 'om', 'ded', 'undang', 'bang', 'teguh', 'aprianto', 'bahas', 'sistem', 'hacking', 'maaf', 'salah', 'purbaya', 'purbaya', 'bang', 'teguh', 'tertarik', 'gambung', 'pemerintahan']"
"OM TOLONG UNDANG MAS BOTOK DAN MAS TEGUH DARI PATI TENTANG PEMAKZULAN TANGGAL 31 OKTOBER. SIAPA TAU DENGAN DI UNDANGNYA MEREKA, KEBUSUKAN PEJABAT BISA TERBONGKAR😢","om tolong undang mas botok dan mas teguh dari pati tentang pemakzulan tanggal 31 oktober. siapa tau dengan di undangnya mereka, kebusukan pejabat bisa terbongkar😢",om tolong undang mas botok dan mas teguh dari pati tentang pemakzulan tanggal oktober siapa tau dengan di undangnya mereka kebusukan pejabat bisa terbongkar,om tolong undang mas botok dan mas teguh dari pati tentang pemakzulan tanggal oktober siapa tau dengan di undangnya mereka kebusukan pejabat bisa terbongkar,"['om', 'tolong', 'undang', 'mas', 'botok', 'dan', 'mas', 'teguh', 'dari', 'pati', 'tentang', 'pemakzulan', 'tanggal', 'oktober', 'siapa', 'tau', 'dengan', 'di', 'undangnya', 'mereka', 'kebusukan', 'pejabat', 'bisa', 'terbongkar']","['om', 'tolong', 'undang', 'mas', 'botok', 'mas', 'teguh', 'pati', 'pemakzulan', 'tanggal', 'oktober', 'tau', 'undangnya', 'kebusukan', 'pejabat', 'terbongkar']"
Presiden Republik Indonesia Bapak Jenderal Prabowo Subianto harus memanggil Hecker2 Indonesia guna memperkuat pertahanan system Cyber Indonesia dan tidak ada kebocoran data ke luar negeri,presiden republik indonesia bapak jenderal prabowo subianto harus memanggil hecker2 indonesia guna memperkuat pertahanan system cyber indonesia dan tidak ada kebocoran data ke luar negeri,presiden republik indonesia bapak jenderal prabowo subianto harus memanggil hecker indonesia guna memperkuat pertahanan system cyber indonesia dan tidak ada kebocoran data ke luar negeri,presiden republik indonesia bapak jenderal prabowo subianto harus memanggil hecker indonesia guna memperkuat pertahanan system cyber indonesia dan tidak ada kebocoran data ke luar negeri,"['presiden', 'republik', 'indonesia', 'bapak', 'jenderal', 'prabowo', 'subianto', 'harus', 'memanggil', 'hecker', 'indonesia', 'guna', 'memperkuat', 'pertahanan', 'system', 'cyber', 'indonesia', 'dan', 'tidak', 'ada', 'kebocoran', 'data', 'ke', 'luar', 'negeri']","['presiden', 'republik', 'indonesia', 'jenderal', 'prabowo', 'subianto', 'memanggil', 'hecker', 'indonesia', 'memperkuat', 'pertahanan', 'system', 'cyber', 'indonesia', 'kebocoran', 'data', 'negeri']"
bjorka elu baru di akui hebat kalo bisa membuka semua pejabat indo yang korup..dan elu tayangin di tv nasional yang elu hack,bjorka elu baru di akui hebat kalo bisa membuka semua pejabat indo yang korup..dan elu tayangin di tv nasional yang elu hack,bjorka elu baru di akui hebat kalo bisa membuka semua pejabat indo yang korupdan elu tayangin di tv nasional yang elu hack,bjorka lu baru di akui hebat kalo bisa membuka semua pejabat indonesia yang korupdan lu tayangin di tv nasional yang lu hack,"['bjorka', 'lu', 'baru', 'di', 'akui', 'hebat', 'kalo', 'bisa', 'membuka', 'semua', 'pejabat', 'indonesia', 'yang', 'korupdan', 'lu', 'tayangin', 'di', 'tv', 'nasional', 'yang', 'lu', 'hack']","['bjorka', 'lu', 'akui', 'hebat', 'kalo', 'membuka', 'pejabat', 'indonesia', 'korupdan', 'lu', 'tayangin', 'tv', 'nasional', 'lu', 'hack']"
"Bjorka itu agen Polandia dilindungi  oleh NATO untuk obrak abrik Indonesia yang dekat dengan Tiongkok dan Rusia. 
LU AJA YANG TO LOL ATAU BELAGAK PILON.","bjorka itu agen polandia dilindungi  oleh nato untuk obrak abrik indonesia yang dekat dengan tiongkok dan rusia. 
lu aja yang to lol atau belagak pilon.",bjorka itu agen polandia dilindungi oleh nato untuk obrak abrik indonesia yang dekat dengan tiongkok dan rusia lu aja yang to lol atau belagak pilon,bjorka itu agen polandia dilindungi oleh nato untuk obrak abrik indonesia yang dekat dengan tiongkok dan rusia lu saja yang tapi lol atau belagak pilon,"['bjorka', 'itu', 'agen', 'polandia', 'dilindungi', 'oleh', 'nato', 'untuk', 'obrak', 'abrik', 'indonesia', 'yang', 'dekat', 'dengan', 'tiongkok', 'dan', 'rusia', 'lu', 'saja', 'yang', 'tapi', 'lol', 'atau', 'belagak', 'pilon']","['bjorka', 'agen', 'polandia', 'dilindungi', 'nato', 'obrak', 'abrik', 'indonesia', 'tiongkok', 'rusia', 'lu', 'lol', 'belagak', 'pilon']"
"17:52_bikin 😂😂😂
27:04 - 30.00_spiritualitas ala orang IT.👍
33:04_😮 pantesan anak ku gak prnh ada libur gawenya pdhl dia masih semester 6 jur. Jaringan Internet di UT di Medan.","17:52_bikin 😂😂😂
27:04 - 30.00_spiritualitas ala orang it.👍
33:04_😮 pantesan anak ku gak prnh ada libur gawenya pdhl dia masih semester 6 jur. jaringan internet di ut di medan.",bikin spiritualitas ala orang it pantesan anak ku gak prnh ada libur gawenya pdhl dia masih semester jur jaringan internet di ut di medan,bikin spiritualitas ala orang itu pantesan anak ku enggak pernah ada libur gawenya padahal dia masih semester jur jaringan internet di ut di medan,"['bikin', 'spiritualitas', 'ala', 'orang', 'itu', 'pantesan', 'anak', 'ku', 'enggak', 'pernah', 'ada', 'libur', 'gawenya', 'padahal', 'dia', 'masih', 'semester', 'jur', 'jaringan', 'internet', 'di', 'ut', 'di', 'medan']","['bikin', 'spiritualitas', 'ala', 'orang', 'pantesan', 'anak', 'ku', 'libur', 'gawenya', 'semester', 'jur', 'jaringan', 'internet', 'ut', 'medan']"
"Ya Krn polisi udh gda IQ nya
Di otaknya cuma duittt aja","ya krn polisi udh gda iq nya
di otaknya cuma duittt aja",ya krn polisi udh gda iq nya di otaknya cuma duittt aja,ya karena polisi sudah enggak ada iq nya di otaknya cuma duittt saja,"['ya', 'karena', 'polisi', 'sudah', 'enggak', 'ada', 'iq', 'nya', 'di', 'otaknya', 'cuma', 'duittt', 'saja']","['ya', 'polisi', 'iq', 'nya', 'otaknya', 'duittt']"
Mlah  nangkap anak pank😂😂,mlah  nangkap anak pank😂😂,mlah nangkap anak pank,malah nangkap anak pank,"['malah', 'nangkap', 'anak', 'pank']","['nangkap', 'anak', 'pank']"
Mas teguh,mas teguh,mas teguh,mas teguh,"['mas', 'teguh']","['mas', 'teguh']"
"Terkait dengan yang di sampaikan Mas Teguh ke Mas Dedi , berarti Polisi kualitas BOSOK ya? Bukan sekali - sepuluh kali salah tangkap dan over pede, tapi ratusan kali bahkan mungkin ribuan kali ya kan?","terkait dengan yang di sampaikan mas teguh ke mas dedi , berarti polisi kualitas bosok ya? bukan sekali - sepuluh kali salah tangkap dan over pede, tapi ratusan kali bahkan mungkin ribuan kali ya kan?",terkait dengan yang di sampaikan mas teguh ke mas dedi berarti polisi kualitas bosok ya bukan sekali sepuluh kali salah tangkap dan over pede tapi ratusan kali bahkan mungkin ribuan kali ya kan,terkait dengan yang di sampaikan mas teguh ke mas dedi berarti polisi kualitas bosok ya bukan sekali sepuluh kali salah tangkap dan over percaya diri tapi ratusan kali bahkan mungkin ribuan kali ya kan,"['terkait', 'dengan', 'yang', 'di', 'sampaikan', 'mas', 'teguh', 'ke', 'mas', 'dedi', 'berarti', 'polisi', 'kualitas', 'bosok', 'ya', 'bukan', 'sekali', 'sepuluh', 'kali', 'salah', 'tangkap', 'dan', 'over', 'percaya', 'diri', 'tapi', 'ratusan', 'kali', 'bahkan', 'mungkin', 'ribuan', 'kali', 'ya', 'kan']","['terkait', 'mas', 'teguh', 'mas', 'dedi', 'polisi', 'kualitas', 'bosok', 'ya', 'sepuluh', 'kali', 'salah', 'tangkap', 'over', 'percaya', 'ratusan', 'kali', 'ribuan', 'kali', 'ya']"
"Hacker mau putih mau hitam, ga keren itu. Mending orang2 pintar kaya abang ini bangun hardware. Biar dampak ekonominya lebih luas. Sebelum semi semikonduktor, coba buat mobo aja dulu, atau sebelum mobo, bikin ram aja dulu, atau sebelum bikin ram, dst.","hacker mau putih mau hitam, ga keren itu. mending orang2 pintar kaya abang ini bangun hardware. biar dampak ekonominya lebih luas. sebelum semi semikonduktor, coba buat mobo aja dulu, atau sebelum mobo, bikin ram aja dulu, atau sebelum bikin ram, dst.",hacker mau putih mau hitam ga keren itu mending orang pintar kaya abang ini bangun hardware biar dampak ekonominya lebih luas sebelum semi semikonduktor coba buat mobo aja dulu atau sebelum mobo bikin ram aja dulu atau sebelum bikin ram dst,hacker mau putih mau hitam enggak keren itu mending orang pintar kayak abang ini bangun hardware biar dampak ekonominya lebih luas sebelum semi semikonduktor coba buat mobo saja dulu atau sebelum mobo bikin ram saja dulu atau sebelum bikin ram dst,"['hacker', 'mau', 'putih', 'mau', 'hitam', 'enggak', 'keren', 'itu', 'mending', 'orang', 'pintar', 'kayak', 'abang', 'ini', 'bangun', 'hardware', 'biar', 'dampak', 'ekonominya', 'lebih', 'luas', 'sebelum', 'semi', 'semikonduktor', 'coba', 'buat', 'mobo', 'saja', 'dulu', 'atau', 'sebelum', 'mobo', 'bikin', 'ram', 'saja', 'dulu', 'atau', 'sebelum', 'bikin', 'ram', 'dst']","['hacker', 'putih', 'hitam', 'keren', 'mending', 'orang', 'pintar', 'kayak', 'abang', 'bangun', 'hardware', 'biar', 'dampak', 'ekonominya', 'luas', 'semi', 'semikonduktor', 'coba', 'mobo', 'mobo', 'bikin', 'ram', 'bikin', 'ram', 'dst']"
